Отчет по административному процессу;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
по филиалу Госэнергогазнадзора по Брестской области за ;;;;;;;;март 2021 года;;;;;;;;;;;;;;;;;;;;;;
по Брестскому межрайонному отделению ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Наименование;ст. 21.2;;;ст. 21.5;;;ст. 21.6;;;ст. 21.7;;;ст. 21.8;;;ст. 24.1;ст. 24.2;ст. 24.3;ст. 24.4;;ст. 24.41;;ст. 24.58;ст. 25.2;ст. 25.4;ст. 25.5;ст. 25.6;Итого за месяц;Итого с начала года
;;ФЛ;ИП;ЮЛ;ФЛ;ИП;ЮЛ;ФЛ;ИП;ЮЛ;ФЛ;ИП;ЮЛ;ФЛ;ИП;ЮЛ;ФЛ;ФЛ;ФЛ;ФЛ;ЮЛ;ФЛ;ИП;ФЛ;ФЛ;ФЛ;ФЛ;ФЛ;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1.;АДМИНИСТРАТИВНОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Количество поступивших заявлений и сообщений об административных правонарушениях (далее - АП);;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.2;Количество возвращенных материалов без начала административного процесса;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.3;Общее количество дел об АП (1.4+1.5);;;;;;;;;;;;;;;; ;;;;;;;;;;;; ; 
1.4;Количество дел об АП, рассмотренных органом Госэнергогазнадзора, по которым вынесены постановления, в том числе (1.4.1+1.4.2+1.4.3+ 1.4.4+1.4.5):;;;;;;;;;;;;;;;; ;;;;;;;;;;;; ; 
1.4.1;об освобождении от административной ответственности с вынесением предупреждения по статье 10.5 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4.2;о наложении административного взыскания без составления протокола об административном правонарушении по статье 10.3 ПИКоАП;;;;;;;;;;;;;;;; ;;;;;;;;;;;; ; 
1.4.3;о прекращении дела об АП на основании пункта 2 части 1 статьи 11.23 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4.4;о наложении административного взыскания на основании статьи 12.11 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.4.5;о прекращении дела об АП на основании статьи 12.11 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5;Общее количество дел об АП, направленных на рассмотрение в суды, административные комиссии, по которым вынесены постановления (1.5.1+1.5.2):;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.5.1;о наложении административного взыскания на основании статьи 12.11 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.5.2;о прекращении дела об АП на основании статьи 12.11 ПИКоАП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6;Общее количество составленных протоколов об АП (1.6.1+1.6.2), из них рассмотрено:;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.6.1;органом госэнергогазнадзора;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1.6.2;административной комиссией или судом;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
2.;ШТРАФЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1;Суммы штрафов, выставленных персоналом Госэнергогазнадзора, руб.;;;;;;;;;;;;;;;; ;;;;;;;;;;;; ; 
2.2;Суммы оплаченных штрафов, руб.;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
3.;ЖАЛОБЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1;Количество поступивших жалоб (протестов) на постановления по делам об АП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2;Количество рассмотренных жалоб (протестов) на постановления по делам об АП, в т.ч. принятые по ним решения:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1.;оставление постановления без изменения, жалобы (протеста) - без удовлетворения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.2;отмена постановления и прекращение дела об АП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.3;отмена постановления и направление дела на новое рассмотрение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.4;иные решения (пункты 4, 5 части 1 статьи 13.10 ПИКоАП);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Начальник межрайонного отделения                                   ____________;;;;;;;;;;;;;;;В.В. Науменко;;;;;;;;;;;;;;;
;;;;;;(подпись);;;;;;;;;;;;;;;;;;;;;;;;
Шеелест;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
